Country,Date,Confirmed,Deaths,Recovered,Recover Rate,Death Rate
Bosnia and Herzegovina,43899,3,,,0,0
Bosnia and Herzegovina,43900,5,,,0,0
Bosnia and Herzegovina,43901,7,,,0,0
Bosnia and Herzegovina,43902,11,,,0,0
Bosnia and Herzegovina,43903,13,,,0,0
Bosnia and Herzegovina,43904,18,,,0,0
Bosnia and Herzegovina,43905,24,,,0,0
Bosnia and Herzegovina,43906,25,,,0,0
Bosnia and Herzegovina,43907,26,,2,0.076923077,0
Bosnia and Herzegovina,43908,38,,2,0.052631579,0
Bosnia and Herzegovina,43909,63,,2,0.031746032,0
Bosnia and Herzegovina,43910,89,,2,0.02247191,0
Bosnia and Herzegovina,43911,93,1,2,0.021505376,0.010752688
Bosnia and Herzegovina,43912,126,1,2,0.015873016,0.007936508
Bosnia and Herzegovina,43913,136,1,2,0.014705882,0.007352941
Bosnia and Herzegovina,43914,166,3,2,0.012048193,0.018072289
Bosnia and Herzegovina,43915,176,3,2,0.011363636,0.017045455
Bosnia and Herzegovina,43916,191,3,2,0.010471204,0.015706806
Bosnia and Herzegovina,43917,237,4,5,0.021097046,0.016877637
Bosnia and Herzegovina,43918,258,5,5,0.019379845,0.019379845
Bosnia and Herzegovina,43919,323,6,8,0.024767802,0.018575851
Bosnia and Herzegovina,43920,368,10,17,0.046195652,0.027173913
Bosnia and Herzegovina,43921,420,13,17,0.04047619,0.030952381
Botswana,43920,3,,,0,0
Botswana,43921,4,1,,0,0.25
Brazil,43887,1,,,0,0
Brazil,43888,1,,,0,0
Brazil,43889,1,,,0,0
Brazil,43890,2,,,0,0
Brazil,43891,2,,,0,0
Brazil,43892,2,,,0,0
Brazil,43893,2,,,0,0
Brazil,43894,4,,,0,0
Brazil,43895,4,,,0,0
Brazil,43896,13,,,0,0
Brazil,43897,13,,,0,0
Brazil,43898,20,,,0,0
Brazil,43899,25,,,0,0
Brazil,43900,31,,,0,0
Brazil,43901,38,,,0,0
Brazil,43902,52,,,0,0
Brazil,43903,151,,,0,0
Brazil,43904,151,,,0,0
Brazil,43905,162,,,0,0
Brazil,43906,200,,1,0.005,0
Brazil,43907,321,1,2,0.00623053,0.003115265
Brazil,43908,372,3,2,0.005376344,0.008064516
Brazil,43909,621,6,2,0.003220612,0.009661836
Brazil,43910,793,11,2,0.002522068,0.013871375
